name,website,industry,funding,employees,source,timestamp,is_ai,employee_count
Ivo,https://www.ivo.ai,"Artificial Intelligence, Marketing",16000000.0,Series A,GrowthList,2025-03-23 09:03:09,True,0
Warmly,https://warmly.ai,"Artificial Intelligence, Sales",6000000.0,Series A,GrowthList,2025-03-23 09:03:09,True,0
Plume Network,https://www.plumenetwork.xyz,Blockchain,0.0,Venture - Series Unknown,GrowthList,2025-03-23 09:03:09,True,0
Monograph,https://monograph.com,"Cloud Computing, Architecture",20000000.0,Series B,GrowthList,2025-03-23 09:03:09,False,0
Trace.Space,https://trace.space,"Cloud Computing, Artificial Intelligence",4000000.0,Seed,GrowthList,2025-03-23 09:03:09,True,0
Semgrep,https://semgrep.dev,"Cyber Security, Analytics",100000000.0,Series D,GrowthList,2025-03-23 09:03:09,False,0
Converge,https://www.runconverge.com,"Data, Marketing",5600000.0,Venture - Series Unknown,GrowthList,2025-03-23 09:03:09,False,0
Archive,https://www.archiveresale.com,"E-commerce, Fashion, Marketplace",30000000.0,Series B,GrowthList,2025-03-23 09:03:09,False,0
TaxGPT,https://www.taxgpt.com,"Finance, Artificial Intelligence",4600000.0,Seed,GrowthList,2025-03-23 09:03:09,True,0
Sotira,https://sotira.co,"FinTech, Finance",2000000.0,Pre-Seed,GrowthList,2025-03-23 09:03:09,False,0
Little Otter,https://www.littleotterhealth.com,"Healthcare, Mental Health",9500000.0,Venture - Series Unknown,GrowthList,2025-03-23 09:03:09,False,0
Fay,https://www.faynutrition.com,"Healthcare, Wellness, Nutrition and Supplements",50000000.0,Series B,GrowthList,2025-03-23 09:03:09,False,0
Tyba,https://www.tyba.ai,"Human Resources, Recruiting, Artificial Intelligence",13900000.0,Series A,GrowthList,2025-03-23 09:03:09,True,0
Mixedbread,https://mixedbread.ai,Artificial Intelligence,5500000.0,Seed,GrowthList,2025-03-23 09:03:09,True,0
Fal,https://www.fal.ai,Artificial Intelligence,49000000.0,Series B,GrowthList,2025-03-23 09:03:09,True,0
Pinkfish,https://www.pinkfish.ai,Artificial Intelligence,7600000.0,Pre-Seed,GrowthList,2025-03-23 09:03:09,True,0
Future AGI,https://futureagi.com,Artificial Intelligence,1600000.0,Pre-Seed,GrowthList,2025-03-23 09:03:09,True,0
Harvey,https://harvey.ai,"Artificial Intelligence, Legal",300000000.0,Series D,GrowthList,2025-03-23 09:03:09,True,0
Tofu,https://www.tofuhq.com,Cloud Computing,12000000.0,Series A,GrowthList,2025-03-23 09:03:09,False,0
Hydro Wind Energy,https://www.hw.energy,Energy,82660.0,Equity Crowdfunding,GrowthList,2025-03-23 09:03:09,False,0
Limited,https://limitedapp.com,Finance,3000000.0,Pre-Seed,GrowthList,2025-03-23 09:03:09,False,0
Comulate,https://www.comulate.com,"Finance, Analytics",20000000.0,Series B,GrowthList,2025-03-23 09:03:09,False,0
museLIVE Inc.,https://quabble.app,Gaming,0.0,Seed,GrowthList,2025-03-23 09:03:09,False,0
Candid Health,https://www.joincandidhealth.com,Healthcare,52500000.0,Series C,GrowthList,2025-03-23 09:03:09,False,0
Junevity,https://www.junevity.com,"Healthcare, Wellness",10000000.0,Seed,GrowthList,2025-03-23 09:03:09,False,0
Human,https://joinhuman.com,Human Resources,7300000.0,Pre-Seed,GrowthList,2025-03-23 09:03:09,False,0
