Company,Total_Employees,Industry,Website,Funding_Date,Funding_Type,Extraction_Time,Page
Vooma,14,0,http://www.vooma.com,2-Dec-24,Series A,2025-04-14 01:54:14,5
Lumin Digital,220,information technology & services,http://www.lumindigital.com,2-Dec-24,Private Equity,2025-04-14 01:54:14,5
Upwind Security,160,computer & network security,http://www.upwind.io,2-Dec-24,Series A,2025-04-14 01:54:14,5
CSpeed,16,telecommunications,http://www.cspeed.io,2-Dec-24,Undisclosed,2025-04-14 01:54:14,5
Cardless,38,0,http://www.cardless.com,26-Nov-24,Venture - Series Unknown,2025-04-14 01:54:14,5
Sirona Medical,91,information technology & services,http://www.sironamedical.com,26-Nov-24,Series C,2025-04-14 01:54:14,5
Wherobots Inc.,23,information technology & services,http://www.wherobots.com,26-Nov-24,Series A,2025-04-14 01:54:14,5
Circleback,4,information technology & services,http://www.circleback.ai,26-Nov-24,Seed,2025-04-14 01:54:14,5
Mindstate Design Labs,19,biotechnology,http://www.mindstate.design,26-Nov-24,Undisclosed,2025-04-14 01:54:14,5
Femtosense,18,semiconductors,http://www.femtosense.ai,26-Nov-24,Debt Financing,2025-04-14 01:54:14,5
Play.ht,60,0,http://www.play.ai,25-Nov-24,Seed,2025-04-14 01:54:14,5
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:54:49,6
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:54:49,6
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:54:49,6
