Name,Website,industry,Country,funding_amount,funding_stage,Last Funding Date,data_source
Era Finance,era.app,Wellness,United States,6200000.0,Seed,2025-02-01,Growth List
Beam,www.trybeam.com,Wellness,United States,11000000.0,Series A,2025-02-01,Growth List
Baseten,www.baseten.co,Artificial Intelligence,United States,75000000.0,Series C,2025-02-01,Growth List
CTGT,www.ctgt.ai,Artificial Intelligence,United States,7200000.0,Seed,2025-02-01,Growth List
Entangl,www.entangl.ai,Artificial Intelligence,United States,,Venture - Series Unknown,2025-02-01,Growth List
Lingo.dev,lingo.dev,Artificial Intelligence,United States,4200000.0,Seed,2025-02-01,Growth List
Pulse,www.runpulse.com,Artificial Intelligence,United States,3900000.0,Seed,2025-02-01,Growth List
Sawmills,www.sawmills.ai,Artificial Intelligence,United States,10000000.0,Seed,2025-02-01,Growth List
Together AI,www.together.ai,"Artificial Intelligence, Cloud Computing",United States,305000000.0,Series B,2025-02-01,Growth List
Mercor,mercor.com,"Artificial Intelligence, Human Resources",United States,100000000.0,Series B,2025-02-01,Growth List
Aomni,www.aomni.com,"Artificial Intelligence, Sales",United States,4000000.0,Seed,2025-02-01,Growth List
Hightouch,www.hightouch.com,"Data, Marketing",United States,80000000.0,Series C,2025-02-01,Growth List
Riley,rileyapp.com,"Finance, Cloud Computing",United States,3100000.0,Seed,2025-02-01,Growth List
Varo Bank,www.varomoney.com,"FinTech, Finance",United States,28982355.0,Series G,2025-02-01,Growth List
Lambda,lambdalabs.com,"Hardware, Artificial Intelligence",United States,480000000.0,Series D,2025-02-01,Growth List
Wurthy,www.wurthy.co,"Cloud Computing, Wellness",United States,,Seed,2025-01-01,Growth List
OpenFunnel,openfunnel.dev,Artificial Intelligence,United States,1300000.0,Pre-Seed,2025-01-01,Growth List
Innovaccer,www.innovaccer.com,"Artificial Intelligence, Cloud Computing, Data, Analytics",United States,275000000.0,Series F,2025-01-01,Growth List
MilkStraw AI,www.milkstraw.ai,"Artificial Intelligence, Data",United States,600000.0,Pre-Seed,2025-01-01,Growth List
Tenvie Therapeutics,tenvie.com,"Biotechnology, Healthcare",United States,200000000.0,Series A,2025-01-01,Growth List
Movement Labs,movementlabs.xyz,Blockchain,United States,100000000.0,Series B,2025-01-01,Growth List
Cuckoo,www.cuckoo.so,Cloud Computing,United States,500000.0,Pre-Seed,2025-01-01,Growth List
Fazeshift,www.fazeshift.com,Energy,United States,4000000.0,Seed,2025-01-01,Growth List
Gridware,gridware.io,Environment,United States,26500000.0,Series A,2025-01-01,Growth List
Siren Care,siren.care,Healthcare,United States,9500000.0,Venture - Series Unknown,2025-01-01,Growth List
Grove,grovetrials.com,"Healthcare, Artificial Intelligence",United States,4900000.0,Seed,2025-01-01,Growth List
Abstract,abstract.us,Legal,United States,4800000.0,Seed,2025-01-01,Growth List
Ouro Medicines,www.ouromedicines.com,Pharmaceuticals,United States,120000000.0,Series A,2025-01-01,Growth List
Tangible,tangiblematerials.com,Real Estate,United States,3000000.0,Venture - Series Unknown,2025-01-01,Growth List
Loft Orbital,www.loftorbital.com,Aerospace,United States,170000000.0,Series C,2025-01-01,Growth List
Homestead Capital,www.homesteadcapital.com,"Agriculture, Investing",United States,,Venture - Series Unknown,2025-01-01,Growth List
Magic,magic.dev,Artificial Intelligence,United States,805525.0,Venture - Series Unknown,2025-01-01,Growth List
Thoras.ai,thoras.ai,"Artificial Intelligence, Cloud Computing",United States,5000000.0,Seed,2025-01-01,Growth List
Mesh,meshconnect.com,Blockchain,United States,,Venture - Series Unknown,2025-01-01,Growth List
Phantom,phantom.com,Blockchain,United States,150000000.0,Series C,2025-01-01,Growth List
Open Ledger,www.openledger.com,Blockchain,United States,3000000.0,Venture - Series Unknown,2025-01-01,Growth List
Instabase,instabase.com,Data,United States,100000000.0,Series D,2025-01-01,Growth List
Arva AI,www.arva.ai,"Data, Artificial Intelligence, Analytics",United States,3000000.0,Seed,2025-01-01,Growth List
kegg,kegg.tech,"Electronics, Artificial Intelligence",United States,6500000.0,Series A,2025-01-01,Growth List
Teal Health,getteal.com,"Healthcare, B2C Software",United States,10000000.0,Seed,2025-01-01,Growth List
Vividly,govividly.com,Hospitality,United States,30000000.0,Series B,2025-01-01,Growth List
Eve,www.eve.legal,Legal,United States,47000000.0,Series A,2025-01-01,Growth List
Thrive,thrivenextgen.com,Professional Services,United States,,Private Equity,2025-01-01,Growth List
Rainbow,www.userainbow.com,Social Network,United States,8000000.0,Series A,2025-01-01,Growth List
Gravity,www.gravityclimate.com,Accounting,United States,13000000.0,Series A,2025-01-01,Growth List
Ember Software,www.embersoftware.com,Cloud Computing,United States,10000000.0,Venture - Series Unknown,2025-01-01,Growth List
