category,date,funding,name,round,source,website
"Artificial Intelligence, Human Resources",Feb 2025,"$100,000,000",Mercor,Series B,Growth List,mercor.com
"Artificial Intelligence, Sales",Feb 2025,"$4,000,000",Aomni,Seed,Growth List,www.aomni.com
"Data, Marketing",Feb 2025,"$80,000,000",Hightouch,Series C,Growth List,www.hightouch.com
"Finance, Cloud Computing",Feb 2025,"$3,100,000",Riley,Seed,Growth List,rileyapp.com
"FinTech, Finance",Feb 2025,"$28,982,355",Varo Bank,Series G,Growth List,www.varomoney.com
"Hardware, Artificial Intelligence",Feb 2025,"$480,000,000",Lambda,Series D,Growth List,lambdalabs.com
"Cloud Computing, Wellness",Jan 2025,,Wurthy,Seed,Growth List,www.wurthy.co
Artificial Intelligence,Jan 2025,"$1,300,000",OpenFunnel,Pre-Seed,Growth List,openfunnel.dev
"Artificial Intelligence, Cloud Computing, Data, Analytics",Jan 2025,"$275,000,000",Innovaccer,Series F,Growth List,www.innovaccer.com
"Artificial Intelligence, Data",Jan 2025,"$600,000",MilkStraw AI,Pre-Seed,Growth List,www.milkstraw.ai
"Biotechnology, Healthcare",Jan 2025,"$200,000,000",Tenvie Therapeutics,Series A,Growth List,tenvie.com
Blockchain,Jan 2025,"$100,000,000",Movement Labs,Series B,Growth List,movementlabs.xyz
Cloud Computing,Jan 2025,"$500,000",Cuckoo,Pre-Seed,Growth List,www.cuckoo.so
Energy,Jan 2025,"$4,000,000",Fazeshift,Seed,Growth List,www.fazeshift.com
Environment,Jan 2025,"$26,500,000",Gridware,Series A,Growth List,gridware.io
Healthcare,Jan 2025,"$9,500,000",Siren Care,Venture - Series Unknown,Growth List,siren.care
"Healthcare, Artificial Intelligence",Jan 2025,"$4,900,000",Grove,Seed,Growth List,grovetrials.com
Legal,Jan 2025,"$4,800,000",Abstract,Seed,Growth List,abstract.us
Pharmaceuticals,Jan 2025,"$120,000,000",Ouro Medicines,Series A,Growth List,www.ouromedicines.com
Real Estate,Jan 2025,"$3,000,000",Tangible,Venture - Series Unknown,Growth List,tangiblematerials.com
Aerospace,Jan 2025,"$170,000,000",Loft Orbital,Series C,Growth List,www.loftorbital.com
"Agriculture, Investing",Jan 2025,,Homestead Capital,Venture - Series Unknown,Growth List,www.homesteadcapital.com
Artificial Intelligence,Jan 2025,"$805,525",Magic,Venture - Series Unknown,Growth List,magic.dev
"Artificial Intelligence, Cloud Computing",Jan 2025,"$5,000,000",Thoras.ai,Seed,Growth List,thoras.ai
Blockchain,Jan 2025,,Mesh,Venture - Series Unknown,Growth List,meshconnect.com
Blockchain,Jan 2025,"$150,000,000",Phantom,Series C,Growth List,phantom.com
Blockchain,Jan 2025,"$3,000,000",Open Ledger,Venture - Series Unknown,Growth List,www.openledger.com
Data,Jan 2025,"$100,000,000",Instabase,Series D,Growth List,instabase.com
"Data, Artificial Intelligence, Analytics",Jan 2025,"$3,000,000",Arva AI,Seed,Growth List,www.arva.ai
"Electronics, Artificial Intelligence",Jan 2025,"$6,500,000",kegg,Series A,Growth List,kegg.tech
"Healthcare, B2C Software",Jan 2025,"$10,000,000",Teal Health,Seed,Growth List,getteal.com
Hospitality,Jan 2025,"$30,000,000",Vividly,Series B,Growth List,govividly.com
Legal,Jan 2025,"$47,000,000",Eve,Series A,Growth List,www.eve.legal
Professional Services,Jan 2025,,Thrive,Private Equity,Growth List,thrivenextgen.com
Social Network,Jan 2025,"$8,000,000",Rainbow,Series A,Growth List,www.userainbow.com
Accounting,Jan 2025,"$13,000,000",Gravity,Series A,Growth List,www.gravityclimate.com
Cloud Computing,Jan 2025,"$10,000,000",Ember Software,Venture - Series Unknown,Growth List,www.embersoftware.com
