Company,Total_Employees,Industry,Website,Funding_Date,Funding_Type,Funding_Amount_USD,Headquarters,Extraction_Time,Page
Rembrand,56,0,http://www.rembrand.com,2-Jan-25,Series A,23000000,"Los Altos, California, United States",2025-04-15 16:29:59,1
Wurthy,13,0,http://www.wurthy.co,30-Dec-24,Seed,0,"San Francisco, California, United States",2025-04-15 16:29:59,1
Frontier Bio,14,research,http://www.frontierbio.com,25-Dec-24,Seed,1300000,"Hayward, California, United States",2025-04-15 16:29:59,1
Courtyard,28,0,http://www.courtyard.io,23-Dec-24,Venture - Series Unknown,4500000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Pasadena Private Lending,9,financial services,http://www.pasadena-private-lending.com,19-Dec-24,Debt Financing,50000000,"Pasadena, California, United States",2025-04-15 16:29:59,1
Tenor,5,information technology & services,http://www.tenorhq.com,19-Dec-24,Seed,5400000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Earli,37,research,http://www.earli.com,19-Dec-24,Undisclosed,60000000,"South San Francisco, California, United States",2025-04-15 16:29:59,1
Child Family Health International,68,nonprofit organization management,http://www.cfhi.org,19-Dec-24,Grant,7500,"San Francisco, California, United States",2025-04-15 16:29:59,1
SandboxAQ,290,information technology & services,http://www.sandboxaq.com,18-Dec-24,Private Equity,300000000,"Palo Alto, California, United States",2025-04-15 16:29:59,1
Plume Network,29,information technology & services,http://www.plumenetwork.xyz,18-Dec-24,Series A,20000000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Hamming AI,12,0,http://www.hamming.ai,18-Dec-24,Seed,3800000,"San Francisco, California, United States",2025-04-15 16:29:59,1
CourtScribes,21,legal services,http://www.courtscribes.com,18-Dec-24,Undisclosed,512474,"San Francisco, California, United States",2025-04-15 16:29:59,1
Perplexity,300,information technology & services,http://www.perplexity.ai,18-Dec-24,Private Equity,500000000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Lyten,290,mechanical or industrial engineering,http://www.lyten.com,18-Dec-24,Debt Financing,650000000,"San Jose, California, United States",2025-04-15 16:29:59,1
Fairbanc,38,information technology & services,http://www.fairbanc.app,18-Dec-24,Debt Financing,50000000000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Mojave Energy Systems,40,machinery,http://www.mojavehvac.com,18-Dec-24,Series A,9500000,"Palo Alto, California, United States",2025-04-15 16:29:59,1
Fraction AI,6,information technology & services,http://www.fractionai.xyz,18-Dec-24,Pre-Seed,6000000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Schwarm Technologies Inc.,27,information technology & services,http://www.schwarm.com,17-Dec-24,Undisclosed,3027055,"San Francisco, California, United States",2025-04-15 16:29:59,1
Landbase,45,0,http://www.landbase.com,17-Dec-24,Venture - Series Unknown,12500000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Acre,15,real estate,http://www.acrehomes.com,17-Dec-24,Seed,10000000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Finexio,72,information technology & services,http://www.finexio.com,17-Dec-24,Debt Financing,10000000,"San Mateo, California, United States",2025-04-15 17:01:28,2
Anatomy Financial,20,0,http://www.anatomy.com,17-Dec-24,Series A,19000000,"San Francisco, California, United States",2025-04-15 17:01:28,2
Serverfarm,130,information technology & services,http://www.serverfarmllc.com,17-Dec-24,Debt Financing,1637000000,"El Segundo, California, United States",2025-04-15 17:01:28,2
Flair,19,electrical/electronic manufacturing,http://www.flair.co,17-Dec-24,Venture - Series Unknown,0,"Berkeley, California, United States",2025-04-15 17:01:28,2
Leapfin,30,information technology & services,http://www.leapfin.com,17-Dec-24,Debt Financing,1000000,"San Mateo, California, United States",2025-04-15 17:01:28,2
Parafin,100,financial services,http://www.parafin.com,17-Dec-24,Series C,100000000,"San Francisco, California, United States",2025-04-15 17:01:28,2
Indapta Therapeutics,22,biotechnology,http://www.indapta.com,17-Dec-24,Venture - Series Unknown,22500000,"San Francisco, California, United States",2025-04-15 17:01:28,2
Xcell Biosciences,29,research,http://www.xcellbio.com,17-Dec-24,Undisclosed,1400000,"San Francisco, California, United States",2025-04-15 17:01:28,2
Jiko,84,financial services,http://www.jiko.com,12-Dec-24,Series C,29000000,"San Francisco, California, United States",2025-04-15 17:01:28,2
One,1200,financial services,http://www.one.app,12-Dec-24,Venture - Series Unknown,300000000,"Sacramento, California, United States",2025-04-15 17:01:28,2
Evinced,91,information technology & services,http://www.evinced.com,12-Dec-24,Series C,55000000,"Palo Alto, California, United States",2025-04-15 17:01:28,2
Twelve Labs,81,information technology & services,http://www.twelvelabs.io,12-Dec-24,Venture - Series Unknown,30000000,"San Francisco, California, United States",2025-04-15 17:01:28,2
Terradot,29,environmental services,http://www.terradot.earth,12-Dec-24,Series A,54000000,"Stanford, California, United States",2025-04-15 17:01:28,2
Cartesia,27,information technology & services,http://www.cartesia.ai,12-Dec-24,Venture - Series Unknown,22000000,"San Francisco, California, United States",2025-04-15 17:01:28,2
Vantis Vascular,9,medical devices,http://www.vantisvascular.com,12-Dec-24,Series B,10000000,"San Jose, California, United States",2025-04-15 17:01:28,2
Alessa Therapeutics,13,research,http://www.alessatherapeutics.com,12-Dec-24,Seed,15000000,"San Francisco, California, United States",2025-04-15 17:01:28,2
Gigs,130,0,http://www.gigs.com,12-Dec-24,Series B,73000000,"San Francisco, California, United States",2025-04-15 17:01:28,2
Immi,25,food & beverages,http://www.immieats.com,12-Dec-24,Undisclosed,3000000,"San Francisco, California, United States",2025-04-15 17:01:28,2
Albert Invent,120,information technology & services,http://www.albertinvent.com,11-Dec-24,Series A,22500000,"San Francisco, California, United States",2025-04-15 17:01:28,2
Strategic Venue Partners,24,wireless,http://www.strategicvenue.com,11-Dec-24,Private Equity,0,"Pasadena, California, United States",2025-04-15 17:01:28,2
Parsec Education,35,government administration,http://www.parseceducation.com,11-Dec-24,Series A,8000000,"Fresno, California, United States",2025-04-15 17:33:48,3
Saltmine,120,information technology & services,http://www.saltmine.com,11-Dec-24,Series A,0,"San Francisco, California, United States",2025-04-15 17:33:48,3
NeuBird,15,0,http://www.neubird.ai,11-Dec-24,Seed,22500000,"San Mateo, California, United States",2025-04-15 17:33:48,3
Aimon Labs,6,information technology & services,http://www.aimon.ai,11-Dec-24,Pre-Seed,2300000,"Palo Alto, California, United States",2025-04-15 17:33:48,3
Ayar Labs,170,computer hardware,http://www.ayarlabs.com,11-Dec-24,Series D,155000000,"San Jose, California, United States",2025-04-15 17:33:48,3
Vapi,34,information technology & services,http://www.vapi.ai,11-Dec-24,Series A,20000000,"San Francisco, California, United States",2025-04-15 17:33:48,3
EzDubs,7,information technology & services,http://www.ezdubs.ai,11-Dec-24,Seed,4200000,"San Francisco, California, United States",2025-04-15 17:33:48,3
Capstan Medical,39,medical devices,http://www.capstanmedical.com,11-Dec-24,Series C,110000000,"Santa Cruz, California, United States",2025-04-15 17:33:48,3
Reveal Technology,50,information technology & services,http://www.revealtech.ai,11-Dec-24,Series A,11200000,"San Francisco, California, United States",2025-04-15 17:33:48,3
Tosi,24,food & beverages,http://www.tosi.com,11-Dec-24,Undisclosed,15805308,"Anaheim, California, United States",2025-04-15 17:33:48,3
Azimuth AI,5,semiconductors,http://www.azimuth-ai.com,11-Dec-24,Venture - Series Unknown,11500000,"Folsom, California, United States",2025-04-15 17:33:48,3
Cohesity,2400,information technology & services,http://www.cohesity.com,10-Dec-24,Series H,0,"San Jose, California, United States",2025-04-15 17:33:48,3
Speak,180,e-learning,http://www.speak.com,10-Dec-24,Series C,78000000,"San Francisco, California, United States",2025-04-15 17:33:48,3
Mainframe,5,information technology & services,http://www.mainfra.me,10-Dec-24,Seed,5500000,"San Francisco, California, United States",2025-04-15 17:33:49,3
Gyaan,39,information technology & services,http://www.gyaan.ai,10-Dec-24,Undisclosed,5000000,"San Francisco, California, United States",2025-04-15 17:33:49,3
WeaveGrid,92,information technology & services,http://www.weavegrid.com,10-Dec-24,Venture - Series Unknown,28000000,"San Francisco, California, United States",2025-04-15 17:33:49,3
WindBorne Systems,44,aviation & aerospace,http://www.windbornesystems.com,10-Dec-24,Venture - Series Unknown,5000000,"Stanford, California, United States",2025-04-15 17:33:49,3
Exabits AI,9,0,http://www.exabits.ai,10-Dec-24,Seed,15000000,"San Mateo, California, United States",2025-04-15 17:33:49,3
Gentrace,8,information technology & services,http://www.gentrace.ai,10-Dec-24,Series A,8000000,"San Francisco, California, United States",2025-04-15 17:33:49,3
LambdaTest,530,information technology & services,http://www.lambdatest.com,10-Dec-24,Series D,38000000,"San Francisco, California, United States",2025-04-15 17:33:49,3
Aarvik Therapeutics,10,research,http://www.aarviktx.com,10-Dec-24,Seed,1165000,"Fremont, California, United States",2025-04-15 17:49:09,4
WaveForms AI,0,information technology & services,http://www.waveforms.ai,10-Dec-24,Seed,40000000,"San Francisco, California, United States",2025-04-15 17:49:09,4
Wald.ai,15,,http://www.wald.ai,10-Dec-24,Seed,4000000,"Palo Alto, California, United States",2025-04-15 17:49:09,4
Wildflower Health,63,hospital & health care,http://www.wildflowerhealth.com,10-Dec-24,Undisclosed,17939793,"San Francisco, California, United States",2025-04-15 17:49:09,4
Aampe,23,information technology & services,http://www.aampe.com,10-Dec-24,Series A,18000000,"San Francisco, California, United States",2025-04-15 17:49:09,4
Cala Health,82,medical devices,http://www.calahealth.com,9-Dec-24,Venture - Series Unknown,50000000,"San Mateo, California, United States",2025-04-15 17:49:10,4
Sofar Ocean,110,0,http://www.sofarocean.com,9-Dec-24,Undisclosed,18250002,"San Francisco, California, United States",2025-04-15 17:49:10,4
Friend,10,information technology & services,http://www.friend.com,9-Dec-24,Seed,5400000,"San Francisco, California, United States",2025-04-15 17:49:10,4
Lava,9,information technology & services,http://www.lava.xyz,9-Dec-24,Series A,10000000,"San Francisco, California, United States",2025-04-15 17:49:10,4
MiSalud,27,"health, wellness & fitness",http://www.misalud.ai,9-Dec-24,Series A,8000000,"Palo Alto, California, United States",2025-04-15 17:49:10,4
Lucra Sports,26,information technology & services,http://www.lucrasports.com,5-Dec-24,Venture - Series Unknown,10000000,"Palo Alto, California, United States",2025-04-15 17:49:10,4
Across AI,7,0,http://www.across.ai,5-Dec-24,Seed,5750000,"San Francisco, California, United States",2025-04-15 17:49:10,4
BITKRAFT Ventures,44,venture capital & private equity,http://www.bitkraft.vc,5-Dec-24,Private Equity,0,"San Francisco, California, United States",2025-04-15 17:49:10,4
Nuvig Therapeutics,18,research,http://www.nuvigtherapeutics.com,5-Dec-24,Series B,161000000,"Redwood City, California, United States",2025-04-15 17:49:10,4
FutureSearch,6,0,http://www.futuresearch.ai,5-Dec-24,Undisclosed,5794991,"San Bruno, California, United States",2025-04-15 17:49:10,4
Solana,290,information technology & services,http://www.solana.com,5-Dec-24,Private Equity,1500000,"San Francisco, California, United States",2025-04-15 17:49:10,4
Rubi Laboratories,30,biotechnology,http://www.rubi.earth,5-Dec-24,Grant,969961,"San Francisco, California, United States",2025-04-15 17:49:10,4
East Oakland Youth Development Center,44,nonprofit organization management,http://www.eoydc.org,5-Dec-24,Grant,0,"Oakland, California, United States",2025-04-15 17:49:10,4
Axiado Corporation,70,computer & network security,http://www.axiado.com,4-Dec-24,Series C,60000000,"San Jose, California, United States",2025-04-15 17:49:10,4
Enterpret,39,information technology & services,http://www.enterpret.com,4-Dec-24,Series A,20800000,"San Francisco, California, United States",2025-04-15 17:49:10,4
HappyRobot,12,information technology & services,http://www.happyrobot.ai,4-Dec-24,Series A,15600000,"San Francisco, California, United States",2025-04-15 18:23:12,5
Offcall,0,hospital & health care,http://www.offcall.com,4-Dec-24,Seed,2000000,"San Francisco, California, United States",2025-04-15 18:23:12,5
Etestho,1,information technology & services,http://www.etestho.com,4-Dec-24,Pre-Seed,0,"Mountain View, California, United States",2025-04-15 18:23:12,5
Antheia,60,research,http://www.antheia.bio,3-Dec-24,Grant,12000000,"Menlo Park, California, United States",2025-04-15 18:23:12,5
Aerospike,290,information technology & services,http://www.aerospike.com,3-Dec-24,Venture - Series Unknown,109000000,"Mountain View, California, United States",2025-04-15 18:23:12,5
Yurts Technologies Inc,56,information technology & services,http://www.yurts.ai,3-Dec-24,Series B,40000000,"San Francisco, California, United States",2025-04-15 18:23:12,5
The Tech Interactive,200,museums & institutions,http://www.thetech.org,3-Dec-24,Grant,0,"San Jose, California, United States",2025-04-15 18:23:12,5
Maze Therapeutics,130,research,http://www.mazetx.com,3-Dec-24,Series D,115000000,"South San Francisco, California, United States",2025-04-15 18:23:12,5
MakersHub,6,financial services,http://www.makershub.ai,3-Dec-24,Seed,7000000,"San Francisco, California, United States",2025-04-15 18:23:12,5
Vooma,14,0,http://www.vooma.com,2-Dec-24,Series A,13000000,"San Francisco, California, United States",2025-04-15 18:23:12,5
Lumin Digital,220,information technology & services,http://www.lumindigital.com,2-Dec-24,Private Equity,160000000,"San Ramon, California, United States",2025-04-15 18:23:12,5
Upwind Security,160,computer & network security,http://www.upwind.io,2-Dec-24,Series A,100000000,"San Francisco, California, United States",2025-04-15 18:23:12,5
CSpeed,16,telecommunications,http://www.cspeed.io,2-Dec-24,Undisclosed,28349982,"Palo Alto, California, United States",2025-04-15 18:23:12,5
Cardless,38,0,http://www.cardless.com,26-Nov-24,Venture - Series Unknown,30000000,"San Francisco, California, United States",2025-04-15 18:23:12,5
Sirona Medical,91,information technology & services,http://www.sironamedical.com,26-Nov-24,Series C,42000000,"San Francisco, California, United States",2025-04-15 18:23:12,5
Wherobots Inc.,23,information technology & services,http://www.wherobots.com,26-Nov-24,Series A,21500000,"San Francisco, California, United States",2025-04-15 18:23:12,5
Circleback,4,information technology & services,http://www.circleback.ai,26-Nov-24,Seed,2500000,"San Francisco, California, United States",2025-04-15 18:23:12,5
Mindstate Design Labs,19,biotechnology,http://www.mindstate.design,26-Nov-24,Undisclosed,12698587,"South San Francisco, California, United States",2025-04-15 18:23:12,5
Femtosense,18,semiconductors,http://www.femtosense.ai,26-Nov-24,Debt Financing,4258347,"Palo Alto, California, United States",2025-04-15 18:23:13,5
Play.ht,60,0,http://www.play.ai,25-Nov-24,Seed,21000000,"Palo Alto, California, United States",2025-04-15 18:23:13,5
Tempest DX,10,information technology & services,http://www.tempestdx.com,25-Nov-24,Seed,3200000,"San Francisco, California, United States",2025-04-15 18:40:21,6
Trustero,15,information technology & services,http://www.trustero.com,21-Nov-24,Series A,10350000,"Palo Alto, California, United States",2025-04-15 18:40:21,6
Epic Cleantec,21,environmental services,http://www.epiccleantec.com,21-Nov-24,Series B,12000000,"San Francisco, California, United States",2025-04-15 18:40:21,6
VISO TRUST,39,computer & network security,http://www.visotrust.com,21-Nov-24,Venture - Series Unknown,7000000,"San Francisco, California, United States",2025-04-15 18:40:21,6
Aviz Networks,80,computer networking,http://www.aviznetworks.com,21-Nov-24,Series A,17000000,"San Jose, California, United States",2025-04-15 18:40:21,6
Arcade,57,information technology & services,http://www.arcade.software,21-Nov-24,Series A,14000000,"San Francisco, California, United States",2025-04-15 18:40:21,6
Anomalo,77,information technology & services,http://www.anomalo.com,21-Nov-24,Series B,10000000,"Palo Alto, California, United States",2025-04-15 18:40:21,6
Teleo,58,machinery,http://www.teleo.ai,21-Nov-24,Series A,7000000,"Palo Alto, California, United States",2025-04-15 18:40:21,6
Wordware,19,0,http://www.wordware.ai,21-Nov-24,Seed,30000000,"San Francisco, California, United States",2025-04-15 18:40:21,6
Aira Technologies,25,wireless,http://www.aira-technology.com,20-Nov-24,Series B,14500000,"Saratoga, California, United States",2025-04-15 18:40:21,6
Generate Capital,320,financial services,http://www.generatecapital.com,20-Nov-24,Debt Financing,1200000000,"San Francisco, California, United States",2025-04-15 18:40:21,6
Rox,27,information technology & services,http://www.rox.com,20-Nov-24,Series A,50000000,"San Francisco, California, United States",2025-04-15 18:40:21,6
Aethero,4,defense & space,http://www.aethero.com,20-Nov-24,Angel,0,"San Francisco, California, United States",2025-04-15 18:40:21,6
Federato,67,insurance,http://www.federato.ai,20-Nov-24,Series C,40000000,"Palo Alto, California, United States",2025-04-15 18:40:21,6
Distru,47,information technology & services,http://www.distru.com,20-Nov-24,Series A,6000000,"Oakland, California, United States",2025-04-15 18:40:21,6
THEO AI,5,legal services,http://www.theoai.ai,20-Nov-24,Pre-Seed,2200000,"Palo Alto, California, United States",2025-04-15 18:40:21,6
Shinami,8,information technology & services,http://www.shinami.com,20-Nov-24,Seed,5650000,"San Francisco, California, United States",2025-04-15 18:40:21,6
PostSig,6,information technology & services,http://www.postsig.com,20-Nov-24,Pre-Seed,1200000,"San Francisco, California, United States",2025-04-15 18:40:21,6
Flywheel Dynamix,0,internet,http://www.flywl.com,20-Nov-24,Seed,7000000,"San Francisco, California, United States",2025-04-15 18:40:21,6
New Lantern,6,information technology & services,http://www.newlantern.ai,20-Nov-24,Series A,19000000,"San Francisco, California, United States",2025-04-15 18:40:21,6
Certinia,840,information technology & services,http://www.certinia.com,19-Nov-24,Private Equity,0,"San Jose, California, United States",2025-04-15 18:43:42,7
Kong,660,information technology & services,http://www.konghq.com,19-Nov-24,Series E,175000000,"San Francisco, California, United States",2025-04-15 18:43:42,7
Kintsugi AI,55,0,http://www.trykintsugi.com,19-Nov-24,Series A,4000000,"San Francisco, California, United States",2025-04-15 18:43:42,7
StoreCash,8,banking,http://www.storecashapp.com,19-Nov-24,Seed,3700000,"San Jose, California, United States",2025-04-15 18:43:42,7
Spectro Cloud,200,information technology & services,http://www.spectrocloud.com,19-Nov-24,Series C,75000000,"San Jose, California, United States",2025-04-15 18:43:42,7
BrightAI,54,information technology & services,http://www.bright.ai,19-Nov-24,Seed,15000000,"San Francisco, California, United States",2025-04-15 18:43:42,7
Open Source Wellness,26,"health, wellness & fitness",http://www.opensourcewellness.org,19-Nov-24,Grant,0,"Oakland, California, United States",2025-04-15 18:43:42,7
Neo4j,930,information technology & services,http://www.neo4j.com,19-Nov-24,Venture - Series Unknown,50000000,"San Mateo, California, United States",2025-04-15 18:43:42,7
Rain AI,78,computer hardware,http://www.rain.ai,19-Nov-24,Undisclosed,150000000,"Redwood City, California, United States",2025-04-15 18:43:42,7
JustPaid,14,0,http://www.justpaid.ai,19-Nov-24,Seed,3500000,"Mountain View, California, United States",2025-04-15 18:43:42,7
Cresta,300,information technology & services,http://www.cresta.com,19-Nov-24,Series D,125000000,"Palo Alto, California, United States",2025-04-15 18:43:42,7
Enfabrica,130,computer networking,http://www.enfabrica.net,19-Nov-24,Series C,115000000,"Mountain View, California, United States",2025-04-15 18:43:42,7
ANAFLASH,20,information services,http://www.anaflash.com,19-Nov-24,Series A,0,"Sunnyvale, California, United States",2025-04-15 18:43:42,7
Open Philanthropy,160,fund-raising,http://www.openphilanthropy.org,18-Nov-24,Grant,0,"San Francisco, California, United States",2025-04-15 18:43:42,7
California University of Science and Medicine,280,higher education,http://www.cusm.edu,18-Nov-24,Grant,0,"San Bernardino, California, United States",2025-04-15 18:43:42,7
Zenflow,27,medical devices,http://www.zenflow.com,18-Nov-24,Series C,24000000,"South San Francisco, California, United States",2025-04-15 18:43:42,7
Radiant,150,oil & energy,http://www.radiantnuclear.com,14-Nov-24,Series C,100000000,"El Segundo, California, United States",2025-04-15 18:43:42,7
Athina AI,11,0,http://www.athina.ai,14-Nov-24,Seed,250000000,"San Francisco, California, United States",2025-04-15 18:43:42,7
Team-GPT,19,information technology & services,http://www.team-gpt.com,14-Nov-24,Seed,4500000,"San Francisco, California, United States",2025-04-15 18:43:42,7
Falkonry,39,information technology & services,http://www.falkonry.com,14-Nov-24,Undisclosed,3387133,"Cupertino, California, United States",2025-04-15 18:43:42,7
Leland,160,professional training & coaching,http://www.joinleland.com,13-Nov-24,Series A,12000000,"Stanford, California, United States",2025-04-15 18:45:28,8
TRex Bio,53,research,http://www.trex.bio,13-Nov-24,Series B,84000000,"South San Francisco, California, United States",2025-04-15 18:45:28,8
Medeloop,30,information technology & services,http://www.medeloop.ai,13-Nov-24,Series A,15500000,"Menlo Park, California, United States",2025-04-15 18:45:28,8
OneSkin,40,research,http://www.oneskin.co,13-Nov-24,Series A,6999929,"San Francisco, California, United States",2025-04-15 18:45:28,8
The WiTT Group,8,hospital & health care,http://www.wittforever.com,13-Nov-24,Seed,0,"Menlo Park, California, United States",2025-04-15 18:45:28,8
